tag	EP	MP	LP	SP	LSP
DehaBAV1_0053	9.566105939	9.157879181	6.436380019	4.029377458	0
DehaBAV1_0779	16.70499097	6.899877074	1.72576002	8.058754915	0
DehaBAV1_0484	3.783609066	3.227370217	1.394228116	4.029377458	0
DehaBAV1_0852	6.496385377	10.0569646	13.14823199	0	0
DehaBAV1_1083	82.81106634	72.02922988	21.61099792	45.21505392	0
DehaBAV1_0746	17.77582372	10.193361	4.65509647	11.47883109	0
DehaBAV1_0047	69.67551789	61.56233554	40.47234338	40.29377458	0
DehaBAV1_0991	0.356944251	0.066482808	0.982555162	0	0
DehaBAV1_0946	58.03913529	44.58510792	104.4401175	27.2462057	0
DehaBAV1_0088	1.641943557	4.405954771	9.525462147	0	0
DehaBAV1_1288	2.42722091	2.24086572	0.472948546	0	0
DehaBAV1_0631	33.76692619	33.71825579	37.16799204	55.7344485	50.53423658
DehaBAV1_0825	16.63360212	15.17876854	7.609050441	11.12869587	0
DehaBAV1_0285	0	0.036766588	0.178074712	0	0
DehaBAV1_1235	448.8930906	492.8533132	1327.807064	282.8698169	555.8766023
DehaBAV1_0759	81.59745589	60.59934346	16.05977583	30.05698059	0
DehaBAV1_1043	73.8160712	48.59221791	52.06245879	34.08635805	0
DehaBAV1_1180	1.998887808	2.385185085	1.302046517	7.099318409	0
DehaBAV1_1157	14.06360351	14.94916147	46.20685582	4.029377458	0
DehaBAV1_0458	29.26942862	20.82453191	12.36890548	22.60752696	0
DehaBAV1_1381	21.91637704	21.85251097	31.95926955	27.2462057	0
DehaBAV1_0406	20.63137773	18.05963394	30.51005433	16.11750983	101.0684732
DehaBAV1_0853	6.710551928	7.570693168	13.88568478	4.029377458	0
DehaBAV1_0286	7.21027388	9.553486247	3.500755082	0	0
DehaBAV1_0061	7.495829281	18.16154508	95.72557293	30.31614665	151.6027097
DehaBAV1_1284	38.47859031	24.14024064	9.298152391	22.60752696	0
DehaBAV1_0622	69.67551789	16.46786204	11.39839087	30.05698059	50.53423658
DehaBAV1_0785	32.41053803	13.16909994	2.259984157	19.18745078	0
DehaBAV1_0555	21.77359934	21.11732306	13.210044	39.33433807	0
DehaBAV1_0278	0.142777701	0.096609775	0.067564078	0	0
DehaBAV1_R0021	0	0.208013541	0.601788215	18.22801428	0
DehaBAV1_1090	60.53774505	42.22679133	6.632783766	34.08635805	0
DehaBAV1_0349	20.34582233	18.40923643	6.294963376	4.029377458	0
DehaBAV1_1263	12.27888225	12.52977414	13.5787704	29.09754409	0
DehaBAV1_1162	49.04414015	44.01470764	136.282588	30.05698059	50.53423658
DehaBAV1_0210	1.713332407	9.89492395	8.358543786	11.47883109	0
DehaBAV1_0565	81.02634508	76.00598003	37.02550255	92.43995001	0
DehaBAV1_0830	11.56499375	10.86061756	3.070753093	7.099318409	0
DehaBAV1_1088	31.76803838	22.53266257	6.731253853	14.54877204	0
DehaBAV1_1006	25.69998611	23.11327711	19.198093	25.67746791	0
DehaBAV1_0069	2.284443209	5.236949883	28.20244441	28.39727364	0
DehaBAV1_0378	48.8299736	35.59671585	17.96989905	49.24443137	0
DehaBAV1_0489	203.4582233	178.599792	104.6731793	118.7364123	101.0684732
DehaBAV1_0616	58.25330184	55.88618688	20.33464178	59.76382596	50.53423658
DehaBAV1_0548	0.713888503	0.474971641	0.558841659	0	0
DehaBAV1_0434	14.13499236	11.5957738	6.774200409	14.54877204	0
DehaBAV1_0892	0.356944251	0.445050047	0.829097971	0	0
DehaBAV1_0036	1.784721257	1.645719824	1.903834732	0	0
DehaBAV1_0182	19.63193383	18.02662229	46.079089	4.029377458	0
DehaBAV1_0597	84.5957876	75.89968842	104.6438826	67.47244565	151.6027097
DehaBAV1_0563	17.49026832	28.47434925	33.27282019	74.66273323	0
DehaBAV1_0441	26.55665231	11.624925	11.69955319	4.029377458	0
DehaBAV1_0574	117.0063256	100.98503	32.70301083	63.79320342	101.0684732
DehaBAV1_0102	1.927498958	2.204021997	3.562030674	7.099318409	0
DehaBAV1_0223	14.42054776	32.88567022	3.531124665	39.5259695	0
DehaBAV1_0196	0.142777701	0.558302173	3.875233542	0	0
DehaBAV1_0835	4.85444182	7.854723282	4.483310244	0	0
DehaBAV1_1195	39.40664536	36.62727817	16.53901286	63.09293297	0
DehaBAV1_0396	17.13332407	17.10009537	43.32729084	16.11750983	0
DehaBAV1_1171	179.8285139	183.138648	388.1868058	177.5311087	151.6027097
DehaBAV1_0116	12.13610455	10.64861915	17.459756	14.89890727	0
DehaBAV1_1307	79.81273463	70.92483296	42.50501778	77.99184023	0
DehaBAV1_0203	2.141665509	2.758431536	18.67069377	31.62571838	50.53423658
DehaBAV1_0447	98.73077996	109.3966164	63.75465064	78.25100629	0
DehaBAV1_R0031	0.07138885	0	0	0	0
DehaBAV1_1098	6.139441125	6.218576523	16.99884801	0	0
DehaBAV1_1008	28.55554012	49.74738233	31.05739187	45.56518914	0
DehaBAV1_0214	2.213054359	7.940832988	19.39342389	14.54877204	0
DehaBAV1_0876	70.81773949	77.32710992	85.64687257	86.05059515	0
DehaBAV1_0386	16.77637982	22.39663197	28.94403999	27.2462057	0
DehaBAV1_0609	266.7087447	177.6004891	178.5649752	132.2926202	101.0684732
DehaBAV1_0297	1.570554706	1.898782561	6.694059358	0	0
DehaBAV1_0440	61.25163355	34.61731283	24.30205692	30.31614665	0
DehaBAV1_1306	2.141665509	3.649343665	3.310103396	0	0
DehaBAV1_1212	90.80661757	91.17149261	102.9501014	74.0299974	50.53423658
DehaBAV1_1244	2.42722091	2.440519519	4.630478948	7.099318409	0
DehaBAV1_1054	3.355275964	3.553930639	5.779068274	0	0
DehaBAV1_0501	38.90692341	38.45750431	51.37209533	34.08635805	50.53423658
DehaBAV1_0435	18.13276797	15.72984151	10.71699803	4.029377458	0
DehaBAV1_0408	44.33247603	43.9817419	37.54139765	70.80155266	0
DehaBAV1_0536	330.3162103	267.8973877	53.90287222	178.0494408	151.6027097
DehaBAV1_R0017	0.07138885	0.126120622	0.067564078	0	0
DehaBAV1_0468	38.90692341	28.66180792	19.11795195	11.47883109	0
DehaBAV1_1194	62.96496596	63.32428446	87.83300416	57.75398378	0
DehaBAV1_0699	9.63749479	6.304978196	3.426902518	0	0
DehaBAV1_0944	8.495273185	7.982220955	21.56805136	0	0
DehaBAV1_1358	6.924718479	4.100452705	3.918180098	0	0
DehaBAV1_0804	10.06582789	8.299831547	6.34419842	7.099318409	0
DehaBAV1_1208	366.5817463	384.3459428	740.3389498	396.8571951	50.53423658
DehaBAV1_0339	1.784721257	8.112127738	3.009477502	7.099318409	50.53423658
DehaBAV1_0894	4.85444182	3.998733669	11.41043142	14.54877204	0
