Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b0102	1.0825	1.315	1.155	1.3
b0103	0.755	0.93	0.68	0.845
b0104	1.84	3.255	2.65	1.0975
b0106	1.555	1.735	0.88	1.58
b0107	1.3625	1.2075	1.23	1.2
b0108	0.0025	0	0.005	0
b0109	1.08	1.2125	1.285	1.335
b0110	0.675	0.8875	0.87	0.6525
b0111	0.75	0.825	0.845	0.595
b0116	0.7675	1.02	0.805	0.9025
b0117	0.455	0.5625	0.51	0.655
b0118	0.6025	0.31	0.525	0.6725
b0119	0.7275	0.965	0.96	0.8575
b0120	3.0325	6.9025	7.36	2.21
b0121	1.625	3.2325	2.075	1.28
b0122	0.96	1.115	1.375	1.3675
b0123	0.945	2.15	2.325	1.93
b0124	1.8325	2.0625	2.78	1.95
b0125	1.635	2.7425	1.985	1.8525
b0126	0.89	0.8475	0.905	1.675
b0127	1.32	1.215	1.505	1.1825
b0128	1.3425	1.935	2.765	1.51
b0129	0.1175	0.1075	0.11	0.16
b0130	2.0425	2.4925	3.24	4.365
b0131	0.9275	0.69	0.905	1.4775
b0132	1.115	1.2125	1.26	1.2475
b0133	1.3075	1.6775	1.845	1.8675
b0134	1.455	1.89	1.74	1.29
b0135	1.3425	0.6225	0.075	1.81
b0136	1.335	0.7175	0.7	1.5
b0137	1.3125	0	0.565	1.6
b0138	1.085	1.0725	0.535	1.2425
b0139	1.29	1.7425	1.835	2.3575
b0145	0.4925	0.415	0.525	0.94
b0146	0.365	0.34	0.34	0.3925
b0147	1.2625	1.08	1.04	1.425
b0148	1.1975	1.68	1.62	1.155
b0149	1.045	1.1175	1.14	1.255
b0150	1.3125	1.575	1.195	1.33
b0151	1.2775	1.2825	0.735	0.9725
b0152	2.06	2.6925	1.785	2.1175
b0153	1.9025	2.94	2.11	2.57
b0154	1.125	1.315	1.255	1.27
b0155	0.75	0.7	0.86	0.82
b0156	0.99	1.45	1.245	0.9575
b0157	1.845	1.555	1.675	1.865
b0158	1.97	2.3	1.945	1.31
b0159	1.11	1.5975	1.36	1.415
b0160	1.39	1.5075	1.055	1.43
b0161	1.1275	0.7975	0.59	0.47
b0162	0.3075	0.325	0.345	0.4425
b0163	0.3975	0.315	0.37	0.4875
b0164	1.9875	2.0825	2.565	2.4825
b0166	1.11	1.015	1.35	2.6925
b0167	1.34	2.705	1.63	2.1075
b0168	1.3175	1.33	1.5	1.6125
b0169	1.955	2.77	2.46	1.8625
b0170	1.7025	1.5625	1.7	1.6675
b0171	2.21	4.205	3.86	1.9375
b0172	1.115	1.475	1.135	0.89
b0173	0.7975	0.6525	0.98	1.27
b0174	1.275	2.05	1.66	1.3875
b0175	1.195	1.6075	1.39	1.2175
b0176	0.95	1.0775	1.195	1.0825
b0177	0.8875	0.855	0.82	0.7475
b0178	0.835	0.895	0.91	1.4175
b0184	1.2975	1.1225	1.195	1.635
b0185	2.105	1.5	1.825	2.36
b0186	0.465	0.42	0.42	0.3675
b0187	0.7225	0.6125	0.675	0.91
b0188	1.795	1.99	2.12	2.22
b0189	0.615	0.6275	0.695	0.98
b0190	0.795	1.17	0.745	0.8825
b0191	1.0875	1.39	1.27	1.1875
b0192	0.75	0.82	0.86	0.985
b0193	1.415	0.865	1.03	2.12
b0194	1.3775	1.8575	1.965	1.6025
b0195	1.1025	1.2525	1.56	1.24
b0196	1.1275	1.09	1.035	1.04
b0197	2.48	2.335	1.97	2.0075
b0198	2.8225	2.825	1.58	1.47
b0199	4.6125	3.0075	1.87	1.2775
b0200	1.235	1.6975	1.305	1.1225
b0207	1.13	0.56	0.6	0.8075
b0208	1.115	1.0775	1.16	0.975
b0209	0.7575	0.6225	0.705	1.0525
b0210	1.085	1.1675	1.435	1.3925
b0211	3.685	5.07	2.68	1.575
b0212	1.15	1.14	1.085	1.425
b0213	1.075	1.2375	1.05	1.2275
b0214	1.18	1.2225	1.165	1.9175
b0215	0.9625	1.6225	1.05	0.9625
b0217	1.9475	2.73	2.385	3.84
b0218	1.565	0.71	1.75	0.7175
b0219	0.5625	0.6675	0.825	0.6875
b0220	0.595	0.9125	0.69	0.645
b2050	0.955	0.935	1.375	1.5
b2051	1.02	0.85	1.61	1.0725
b2052	1.1025	3.85	4.44	2.0075
b2053	1.025	0.8325	0.62	0.7575
b2054	0.01	0	0	0.9825
b2055	0.51	0.0025	0	0.61
b2061	1.5475	5.0025	3.515	1.51
b2062	0.165	1.445	0	0.5225
b2063	1.57	2.0375	2.115	1.4825
b2064	1.0825	1.2375	1.345	1.095
b2065	0.8875	0.805	0.91	0.9675
b2066	2.3425	4.5125	2.585	1.655
b2067	0.7975	1.09	1.18	0.8225
b2068	0.92	0.9575	1.12	0.9425
b2069	2.695	2.2425	3.44	4.1525
b2070	1.0725	1.4225	1.185	0.9875
b2071	1.0675	0.4025	0.725	1.705
b2072	0.68	0.54	0.345	0.47
b2073	1.2375	2.5225	1.73	1.1825
b2074	1.2875	1.425	1.79	1.0725
b2075	1.245	1.0225	1.205	1.2475
b2076	1.5925	1.13	1.135	1.1425
b2077	1.365	1.39	1.17	0.9175
b2078	1.1	0.77	0.4	0.9125
b2079	0.9775	1.03	0.93	1.1175
b2080	0.38	0.1	0.05	0.07
b2081	2.15	2.495	2.94	2.1325
b2091	0.2375	0.0175	0.015	0.045
b2092	0.5025	0.0325	0.015	0.0525
b2093	0.34	0.025	0.015	0.045
b2094	0.1675	0.0225	0.02	0.09
b2095	0.15	0.02	0.015	0.065
b2096	0.0425	0.0225	0.035	0.07
b2097	0.4075	0.22	0.16	0.1425
b2098	0.715	0.5875	0.83	0.8725
b2099	0.76	0.7225	0.94	1.085
b2100	0.745	0.62	0.71	0.8575
b2101	1.4275	1.55	1.255	0.925
b2105	1.2625	1.4775	1.235	1.0725
b2106	1.2475	1.515	1.375	1.17
b2107	0.735	0.9675	0.93	1.0975
b2108	0.9125	0	0	0.6225
b2109	0.3425	0	0.77	0.3275
b2110	0	0	0	0
b2111	0	0	1.495	1.68
b2112	0.54	0.2125	0.375	0.435
b2113	1.44	2.0525	1.585	1.45
b2114	1.275	1.375	1.22	1.125
b4499	1.1625	0.9725	1.085	1.46
b4499	1.835	1.27	0.785	1.8975
b4499	0.3325	0	0.56	0.4775
b2118	0.4275	0.515	0.395	0.7075
b2119	0.7175	0.3775	0.61	0.4775
b2120	1	0.4175	0.365	1.105
b2121	1.255	3.105	2.12	1.0925
b2122	1.5375	1.155	0.605	1.1575
b2123	0.975	0.425	0.94	0.395
b2124	0.9975	1.18	1.22	1.3175
b2125	0.4025	0.44	0.365	0.475
b2126	0.0575	0.06	0.07	0.2825
b2127	0.13	0.1175	0.105	0.15
b2128	0.375	0.24	0.295	0.6975
b2129	0.3375	0.2625	0.34	0.64
b2130	0.3225	0.17	0.235	0.515
b2131	0.175	0.21	0.165	0.2475
b2132	1.1325	0.9725	1.07	1.16
b2133	0.7625	0.6125	0.58	0.5475
b2134	1.49	1.4925	1.74	1.8075
b2135	0.27	0.1725	0.145	0.1225
b2136	0.69	0.545	0.685	0.85
b2137	0.385	0.4575	0.41	0.4
b2139	1.2675	2.1025	0.44	0.9425
b2139	0.1875	0.0025	0	0.17
b2140	1.4425	2.41	2.925	2.14
b2141	11.0725	10.2275	9.51	7.1975
b2142	4.5125	4.3675	3.765	2.745
b2143	0.9175	0.9825	0.905	0.84
b2144	1.2475	0.9275	1.25	1.5325
b2145	1.495	1.135	2.1	3.1925
b2146	0.22	0.1725	0.06	0.14
b2147	0.44	0.4925	0.525	0.5075
b2148	0.1275	0.055	0.055	0.07
b2149	0.0825	0.0325	0.025	0.045
b2150	0.14	0.0425	0.03	0.035
b2151	0.095	0.13	0.155	0.0975
b2152	2.2	3.27	2.42	2.1075
b2153	1.82	3.235	1.84	2.2375
b2154	1.8575	1.255	1.265	1.3175
b2155	1.3225	3.6525	0.995	1.195
b2156	1.905	1.8975	2.22	4.2075
b2157	0.88	0.84	0.905	1.14
b2158	1.4	1.2275	1.18	1.1025
b2159	0.9475	1.215	1.055	1.1025
b2160	1.3	1.3875	1.285	1.565
b2161	1.7775	2.28	2.45	1.8675
b2162	1.0375	0.1725	0	0.27
b2163	0.6025	0.7475	0.2	0.48
b2164	0.6125	1.11	1.255	0.6275
b2165	0.215	0.01	0.1	0.0325
b4208	0.33	0.205	0.28	0.3675
b4209	0.84	1.1325	0.635	1.8875
b4210	0.7125	0.62	0.915	1.695
b4211	1.295	1.2625	1.245	1.82
b4212	1.1575	1.3325	1.365	1.5575
b4213	0.395	0.4275	0.75	0.55
b4214	0.4925	0.3575	0.495	0.715
b4215	0.96	0	0.45	0.7875
b4216	0.12	0.0875	0.095	0.07
b4217	0.2975	0.1875	0.2	0.2725
b4218	1.225	1.2325	1.435	1.0825
b4219	0.675	0.5	0.61	0.7625
b4220	1.1925	1.25	1.31	1.3025
b4221	1.2925	1.155	1.185	1.265
b4222	1.2575	1.1225	1.375	1.39
b4223	1.4025	1.3825	1.82	1.8375
b4224	0.395	0.75	0.91	1.015
b4225	1.2075	0.7975	0.79	1.495
b4226	1.2125	1.1125	1.245	1.21
b4227	0.15	0.1525	0.065	0.0825
b4228	0.095	0.095	0.035	0.1125
b4485	0.1675	0.14	0.155	0.195
b4230	0.205	0.16	0.095	0.24
b4231	0.47	0.35	0.435	0.5975
b4232	0.645	0.9975	1.215	0.935
