Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b4406	0.5075	0.56	0.595	0.7975
b4504	1.0375	0.95	0.47	1.0375
b4505	1.4725	2.12	1.15	1.4625
b0359	0.7675	0.2575	0.2	0.7875
b0380	0.19	0.2375	0.215	0.1975
b4572	1.415	1.5125	1.45	1.26
b0556	1	1.05	1.25	1.375
b4415	1.005	0.54	0	0.6325
b4511	1.32	2.5875	0.825	1.325
b4512	0.0875	0.07	0.075	0.115
b4514	0.6	2.75	3.645	1.6825
b0806	0.3375	0.1625	0.17	0.3
b4517	1.735	1.26	1.495	2.925
b4518	0.415	0.35	0.3	0.3575
b1146	1.82	2.72	3.22	2.32
b4520	0.79	0.77	0.78	1.9825
b4593	5.2075	9.6875	7.88	5.8
b4594	0.6675	0.6325	0.615	3.195
b1251	0.95	0.685	0.79	0.8675
b1259	0.725	0.6125	0.42	0.435
b4523	1.5425	2.1625	2.22	1.0875
b4526	1.3475	1.1825	1.52	0.845
b4527	0.98	0.8075	0.49	1.03
b1371	1.155	0.7175	0.565	1.0475
b4529	0.345	0.34	0.34	0.31
b1420	0.57	0.565	0.525	0.2825
b4578	0.895	0.73	0.67	1.3025
b4578	0.395	0.2925	0.36	0.9925
b4532	1.4325	1.56	1.25	0.905
b1445	5.975	9.0775	6.97	4.0325
b1477	1.07	1.1375	1.09	0.7325
b4533	0.3025	0.2775	0	0.595
b1556	1.3775	1.74	4.325	3.1725
b1648	0.4725	0.5425	0.645	0.605
b4536	1.1125	1.41	1.475	1.9575
b1831	1.0225	1.025	0.8	1.0375
b1837	0.675	0.775	0.78	0.85
b4537	4.1	8.835	5.4	2.06
b4539	1.7975	1.9625	1.845	1.375
b4571	1.1525	0.8175	0.785	2.345
b2107	0.9225	0.785	0.78	1.2725
b4541	0.9125	1.515	0.535	0.43
b2139	1.64	1.56	1.065	1.7025
b4502	2.05	1.7125	2.06	2.115
b2258	0.7	0.9525	0.365	0.49
b4501	1.2125	0.91	1.08	1.5225
b4546	0.9725	1.1925	1.265	1.4375
b4547	0.7975	0.7575	0.795	1.08
b2635	1.785	3.055	1.9	1.3575
b2641	1.5125	1.035	1.785	1.7375
b4548	0.8625	0.685	0.56	0.7875
b2978	0.415	0.22	0.185	0.19
b3119	0.39	0.1225	0.005	0.51
b3191	1.22	1.115	1.33	2.2075
b4549	1.465	1.62	1.3	2.015
b3242	2.63	2.3775	2.975	2.325
b4550	3.9	4.0875	2.535	1.925
b4551	0.7175	0.8	0.87	1.05
b4455	1.1475	1.7125	1.485	1.135
b4553	0.1175	0	0	0.3725
b4554	0.345	0.4725	0.415	0.43
b4555	0.6775	1.2725	1.215	1.31
b4556	1.33	1.0475	0.92	0.68
b3692	0.255	0.25	0.105	0.275
b4488	1.5325	1.98	3.23	2.295
b4558	0.9775	0.725	0.875	1.695
b3991	0.7775	0.56	0.855	1.1425
b3991	0.6875	0.56	0.97	1.0125
b4050	1.4125	1.44	0.895	0.78
b4487	0.805	0.6825	0.855	1.0975
b4559	0.27	0.1175	0.47	1.0625
b4148	1.1125	1.1725	1.42	1.565
b4189	0.045	0.045	0.035	0.0375
b4575	0.6725	0.5575	0.79	0.765
b4623	1	1.3625	1.01	0.9075
b0021	1.24	1.2	1.86	2.145
b4576	1.04	1.1625	1.33	1.395
b4565	0.135	0.005	0.01	0.03
b4566	0.405	0.6575	0	0.34
b4567	0.925	0.955	0.54	1.2925
b4568	0.52	0.3675	0.4	0.6025
b0002	2.5325	2.005	2.915	2.295
b0003	2.49	1.8225	2.585	1.9475
b0004	2.875	1.88	2.66	2.215
b0005	3.7075	3.375	4.21	3.33
b0006	1.3825	1.615	1.795	1.5125
b0007	0.5025	0.545	0.47	0.68
b0008	1.5575	1.4625	1.92	2.3375
b0009	1.105	0.93	0.945	1.2925
b0010	2.0675	2.5	1.785	1.0975
b0011	0.9925	1	1.305	1.08
b0012	0	0	0	0.43
b0013	0.4525	0.2825	0.5	0.33
b0014	0.54	0.605	0.49	0.9175
b0015	0.7775	0.7375	0.855	1.435
b0017	0.725	0.7475	0.85	1.005
b0018	0.5275	0.6675	0.63	0.59
b0019	0.6375	0.6125	0.925	0.8425
b0020	0.91	0.93	1.075	1.055
b0023	2.035	1.495	1.83	3.59
b0024	1.1875	1.1275	1.57	1.83
b0025	1.1575	1.4225	1.285	1.0525
b0026	1.2525	1.56	1.44	1.085
b0027	1.1725	0.79	0.995	1.31
b0028	1.3375	1.2725	1.31	1.3725
b0029	0.5975	0.44	0.58	0.765
b0030	0.3775	0.18	0.145	0.1275
b0031	0.9475	1.155	1.72	5.5275
b0032	5.16	8.665	3.63	1.7425
b0033	4.565	5.5575	3.76	2.39
b0035	0.945	1.1475	1.675	1.6725
b0036	1.295	1.615	1.315	1.1325
b0037	1.2725	2.1375	2.44	2.8025
b0038	1.495	1.3425	1.37	0.92
b0039	1.9425	2.9275	3.03	2.8525
b0040	0	0	0	0
b0041	1.6025	2.2875	1.61	2.1375
b0042	1.075	0.9575	0.43	0.94
b0043	1.1575	1.0925	0.125	0.53
b0044	0.39	0.0025	0	0.3325
b0045	0.6525	0.74	0.51	0.6525
b0046	0.4	0.385	0.465	0.57
b0047	0.635	0.605	0.72	0.665
b0048	0.9175	1.145	0.93	1.19
b0049	1.2	1.175	0.865	0.69
b0050	1.12	1.4425	1.455	1.08
b0051	1.245	1.3975	1.08	0.9175
b0052	1.115	1.365	1.265	0.9325
b0053	0.9225	0.7875	0.745	0.8575
b0054	1.125	0.93	0.985	1.0475
b0055	1.505	1.875	1.94	1.8125
b0056	1.0175	0.8775	0.95	1.0325
b4659	0.975	0.925	1.005	1.3475
b0058	1.03	0.8425	1.16	1.6625
b0059	1.15	1.315	1.49	1.28
b0060	0.575	0.8025	0.89	0.935
b0061	0.7025	1.085	0.75	0.5425
b0062	0.2625	0.265	0.225	0.1375
b0063	0.225	0.1	0.055	0.32
b0064	0.2325	0.31	0.355	0.3925
b0065	0.7775	0.7275	0.905	1.3025
b0066	1.9575	2.3825	2.655	2.3
b0067	1.6075	2.7975	2.87	2.1525
b0068	1.6225	2.6425	1.705	1.485
b0069	1.2875	1.4875	1.315	1.17
b0070	1.1275	1.3525	1.51	1.225
b0071	0.5275	0.2725	0.305	0.5175
b0072	0.7075	0.4225	0.555	0.635
b0073	0.5825	0.405	0.55	0.5225
b0074	0.615	0.435	0.58	0.6525
b0076	1.1025	0.625	0.8	1.02
b0077	0.845	0.79	0.87	0.87
b0078	0.7	0.6075	0.92	1.3275
b0080	0.4125	0.3	0.345	0.525
b0081	0.79	0.8375	0.915	1.0575
b0082	0.835	0.88	1.015	1.21
b0083	0.765	0.8175	1.035	1.53
b0084	0.9425	0.875	1.015	1.3
b0085	1.045	0.9825	1.23	1.54
b0086	0.9975	1.035	1.25	1.5725
b0087	1.335	1.2275	1.15	1.345
b0088	1.0425	0.9375	0.975	1.355
b0089	1.175	1.1825	1.225	1.43
b0090	1.3475	1.44	1.645	1.74
b0091	1.1475	1.065	1.285	1.405
b4080	0.88	2.7575	1.655	0.46
b4081	0.4025	0.0025	0.985	0.19
b4082	0	0	0	0
b4083	1.005	0.0025	0	0.5975
b4084	1.0675	1.395	1.415	1.09
b4085	0.8525	0.94	0.94	1.14
b4086	1.1975	0.455	1.18	0.2275
b4087	0.6975	0.37	0.365	0.965
b4088	0.68	0.495	0.28	0.385
b4089	0.67	0.7075	0.855	1.3525
b4090	0.7	0.57	0.675	0.96
b4091	1.2975	2.325	1.615	1.22
b4092	0.53	0.495	0.52	0.505
b4093	0.4875	0.52	0.585	0.535
b4094	0.6675	0.7075	0.535	0.85
b4095	1.3075	0.6075	1.71	1.0225
b4096	0.7525	0.7825	0.205	0.425
b4097	0.1625	0	0	0
b4098	0	0.0025	0	0.0025
b4099	3.875	2.64	2.915	2.5475
b4100	0	0	0.565	0
b4101	0.94	1.3225	1.56	0.6425
b4102	0.3175	0	0	0
b4104	0	0	0	0
b4104	0.38	0	0	0.2675
b4105	0.345	0.0025	0	0
b4106	0	0	0.655	0
b4107	0.2675	0.14	0.19	0.3375
b4108	2.0975	2.86	2.845	2.0075
b4109	0.9	0.9075	0.96	0.4725
b4110	1.32	1.2575	1.17	0.8625
b4111	13.5025	10.245	11.475	8.5475
b4112	1.115	1.9975	1.415	1.2125
b4113	0.695	0.9125	0.62	0.535
b4114	0.4	0.4925	0.375	0.3825
b4115	0.9025	0.91	0.295	0.735
b4116	0.39	0	0	1.33
b4117	0.8725	0.42	0.13	1.2075
b4118	0.4225	0.32	0.225	0.4225
b4119	0.6775	0.5575	0.595	0.56
b4120	0.8525	0.8075	0.915	1.0825
b4121	1.0175	0.695	0.895	1.425
b4122	0.31	0.2475	0.28	0.23
b4123	0.4875	0	0	0.88
b4124	0.905	1.1775	1.13	0.6675
b4125	0.79	1.2425	0.935	0.765
b4126	0.165	0.1425	0.21	0.445
b4127	0.3475	0.285	0.39	0.6525
b4128	0.7125	0.6125	0.375	1.5425
b4129	1.1975	1.145	1.505	1.03
b4130	1.5675	2.635	2.885	3.085
b4131	1.095	0.9025	0.97	1.135
b4132	0	0	0	0
b4133	1.66	0.9675	1.955	1.56
b4135	0.5475	0.4375	0.47	0.555
b4136	1.08	0.9875	1.225	1.26
b4137	1.15	1.3325	1.26	1.34
b4138	1.6375	1.7875	1.4	1.185
b4139	0.5	0.34	0.455	0.59
b4140	0.32	0.355	0.39	0.885
b4141	1.3	1.235	1.4	3.0425
b4142	0.34	0.32	0.44	0.6075
b4143	0.39	0.3725	0.315	0.44
b4144	0.6325	0.435	0.465	0.54
b4145	0.8375	0.465	1.18	1.975
b4146	1.545	1.8275	1.595	1.4625
b4147	1.4475	1.5775	1.635	1.5475
b4148	0.105	0.065	0.09	0.2875
b4149	0.1125	0.1075	0.125	0.175
b4150	1.355	1.56	1.555	1.5225
b4151	0.27	0.1525	0.21	0.315
b4152	0.34	0.2275	0.425	0.395
b4153	0.225	0.205	0.225	0.2525
b4154	0.185	0.2	0.19	0.1725
b4155	1.0075	1.0925	1.17	1.515
b4156	0.57	0.155	0.515	0.645
b4157	1.2425	1.895	2.06	1.465
b4158	1.37	1.175	1.345	1.8625
b4159	1.2225	1.0425	1.15	1.195
b4160	0.8325	0.94	0.875	0.9575
b4161	0.8075	0.6225	0.675	0.895
b4162	0.81	1.1125	0.905	1.0725
b4166	1.6475	2.5625	2.565	1.755
b4167	0.8925	0.79	0.86	0.855
b4168	0.9175	1.08	1.18	0.9275
b4169	1.08	1.0575	1.07	1.225
b4170	1.195	1.3525	1.36	1.4625
b4171	0.5725	0.69	0.735	0.5425
b4172	0.8625	1.285	1.525	1.06
b4173	0.94	1.045	1.16	1.2225
b4174	1.2175	1.76	1.375	1.225
b4175	1.225	1.2675	1.355	1.055
b4176	1.2925	1.8075	1.745	2.2625
b4177	1.34	2.0025	2.675	2.165
b4178	0.85	0.895	0.985	0.965
b4179	1.4175	1.92	1.885	1.34
b4180	1.53	1.225	1.215	1.3725
b4181	1.5175	1.9425	0.965	1.9625
b4182	0.56	0	0	0
b4183	0.945	0	0.32	0.8125
b4184	0.5525	0.205	0.21	0.885
b4185	1.4625	0.91	0.75	1.7475
b4186	1.4375	1.16	1.175	2.0075
b4187	0.365	0.33	0.37	0.3575
b4188	0.1275	0.1225	0.125	0.1525
b4189	0.0425	0.0325	0.035	0.05
b4190	0.9375	0.825	1.07	1.185
b4191	1.2325	1.7075	1.46	1.4225
b4192	0.23	0.2	0.25	0.3425
b4193	0.465	0.4175	0.355	0.5225
b4194	0.56	0.37	0.035	0.775
b4195	0.7425	0.6625	0.57	0.6925
b4196	1.105	0.8175	1.045	1.095
b4197	0.815	0	0.625	0.335
b4198	0.7875	0.9825	0.93	0.9975
b4199	0.545	0.4425	0.425	0.78
b4200	1.575	2.5375	1.515	1.8425
b4201	2.3525	2.9775	3.285	3.36
b4202	1.79	2.2725	2.065	2.4575
b4203	1.8825	2.185	1.565	1.88
b4204	1.07	1.34	1.33	1.7925
b4205	0.63	0	0.005	0.7525
b4206	0.6625	0.7375	0.565	0.6025
b4207	1.1325	1.48	1.16	0.9775
b2922	0.51	0.4575	0.455	0.4425
b2923	0.8925	1.165	1.375	0.7475
b2924	2.665	2.3225	2.38	2.385
b2925	1.3725	1.2575	1.045	0.9225
b2926	1.0025	0.925	0.585	1.1
b2927	1.3775	1.1525	1.44	1.565
b2928	1.3725	1.8725	1.805	1.2175
b2929	1.565	1.8425	1.975	1.375
b2930	1.14	0.8175	0.295	0.795
b4465	1.0275	0.8475	1.15	1.03
b2932	0.9925	0.75	0.285	0.945
b2933	0.9825	1.445	1.38	1.1675
b2934	0.735	0.3625	0.005	0.1875
b2935	1.6075	1.3325	1.63	1.7025
b2936	0.4775	0.985	0.705	0.62
b2937	1.1125	1.285	0.91	1.275
b2938	0.9275	0.6725	0.89	0.805
b2940	1.455	1.94	1.575	1.635
b2941	1.27	1.74	1.625	2
b2942	2.9475	2.7075	1.815	1.3425
b2943	1.1675	0.6475	0.76	1.575
b2944	2.5875	4.26	4.67	1.95
b2945	1.7375	3.7775	4.125	2.6825
b2946	0.92	0.96	1.08	0.795
b2947	0.8475	0.77	0.965	1.11
b2948	1.6275	1.375	1.305	1.3525
b2949	1.4725	1.46	1.625	1.3825
b2950	1.16	1.1525	1.25	1.175
b2951	1.8275	2.1475	1.73	1.33
b2952	1.585	1.8075	1.38	1.1875
b2953	1.35	1.665	1.635	1.14
b2954	1.56	1.8825	1.565	1.1575
b2955	2.4625	2.805	2.935	2.535
b2956	2.1425	3.62	2.9	2.94
b2957	0.7125	0.4475	0.12	0.595
b2958	0.97	0.87	0.99	1.0975
b2959	0.8925	1.5975	1.23	1.16
b2960	1.1025	1.735	1.885	1.51
b2961	1.235	1.95	1.805	1.5675
b2962	1.1375	1.235	1.47	1.6875
b2963	1.4925	1.585	1.635	1.955
b2964	0.2325	0.145	0.155	0.2725
b2965	1.5175	1.0925	0.755	0.7825
b2966	0.66	0.5775	0.79	0.6425
b2968	1.34	1.885	1.515	1.8425
b2969	0	0	0	0.4475
b2970	0	0	0.835	3.2625
b2971	0.845	0	0.06	4.8675
b2972	1.3525	2.29	2.235	2.615
b4466	1.1125	0.6475	0.34	3.155
b4466	1.9025	0.4725	0.965	2.365
b2975	0.965	0.1025	0.105	0.1
b2976	1.305	0.25	0.265	0.2025
b2977	0.845	0.1525	0.14	0.1775
b2978	0.525	0.1425	0.13	0.19
b2979	0.2675	0.09	0.115	0.11
b2980	0.095	0.125	0.125	0.1625
b2981	2.1175	1.875	1.645	3.03
b2983	0.9275	0.4625	0.495	1.735
b2984	1.2	1.5025	1.6	1.6525
b2985	0.0025	0.0025	0	0
b2986	0.99	0.2625	0.325	0.9725
b2987	1.6975	1.4575	0.93	0.9725
b2988	0.685	0.8275	1.035	1.1825
b2989	0.425	0.3225	0.25	0.3175
b2990	1.13	0.995	1.215	1.2225
b2991	1.265	1.315	1.88	1.71
b2992	1.405	1.3725	2.15	1.8375
b2993	1.225	0.955	1.195	1.4625
b2994	1.095	1.315	1.185	1.025
b2995	0.85	1.1325	2.01	1.04
b2996	0.55	0.73	0.685	0.6025
b2997	0.5475	0.785	0.62	0.49
b2998	0.485	0	0	1.005
b4658	0.3	0.2325	0.185	0.2525
b4658	0.1525	0.085	0.08	0.0925
b3001	0.085	0.0225	0.015	0.065
b3002	1.855	2.42	2.88	2.205
b3003	0.3325	0.6625	0.495	0.275
b3004	0.22	0.12	0.175	0.6
b3005	1.31	1.9325	1.215	0.9825
b3006	1.93	2.22	1.68	2.295
b3007	2.395	3.5225	2.08	2.7125
b3008	1.48	2.0175	1.375	1.6275
b3009	0.775	0.73	0.69	0.825
b3010	1.3	1.72	1.54	1.18
b3011	0.935	0.9875	0.745	0.5975
b3012	0.395	0.255	0.1	0.2125
b3013	1.0375	0.3375	0.545	1.4725
b3014	1.235	1.2175	1.07	0.8925
b4469	2.3875	3.08	2	1.89
b4469	3.1775	3.78	3.34	1.8825
b3017	1.0325	1.155	1.275	0.9625
b3018	1.6875	1.415	1.49	1.3625
b3019	1.13	1.6075	1.195	1.125
b3020	0.1875	0.1925	0.17	0.985
b3021	1.2775	1.0325	0.95	1.0775
b3022	1.3475	1.2225	1.185	1.095
b3023	1.1625	1.1025	1.15	1.34
b3024	0.8075	0.6875	0.535	0.625
b3025	1.39	1.295	1.24	1.27
b3026	1.29	1.0825	1.165	1.305
b3027	0.5925	0.5275	0.53	0.93
b3028	0.71	0.585	0.595	0.705
b3029	0.8125	0.435	0.605	1.1075
b3030	1.0375	1.4525	1.37	1.41
b3031	0.7125	0.685	0.785	0.975
b3032	0.3975	0.3325	0.36	0.45
b3033	0.39	0.3375	0.375	0.4375
b3034	1.0425	1.2075	1.41	1.565
b3035	0.8475	1.005	0.72	0.71
b3036	1.065	0.9925	0.75	1.3425
b3037	0.6075	0.6775	0.525	0.4375
b3038	1.08	1.0675	1.09	1.19
b3039	0.9825	0.81	0.87	1.3725
b3040	1.0125	1.1075	1.555	1.5025
b3041	1.375	1.15	1.395	1.285
b3042	1.0425	1.6125	1.385	1.055
b3043	1.155	0.2075	0.745	1.2075
b3046	1.3625	1.4675	2.625	1.5925
b3047	1.48	0.8575	0.84	0.8075
b3048	0.86	0.485	0.64	1.67
b3049	0.1175	0.0825	0.07	0.1325
b3050	1.5075	1.9425	2.17	1.67
b3051	1.1525	1.5425	1.195	0.755
b3052	1.465	2.1225	1.48	1.2525
b3053	1.0375	0.855	0.835	1.1825
b3183	1.5475	1.505	1.78	1.77
b3184	1.4975	1.4325	2.09	1.91
b3185	1.175	1.0625	1.87	1.9825
b3186	1.265	1.48	1.685	1.985
b3187	1.3	1.5675	1.4	1.1425
b3188	1.455	1.4375	1.36	2.0175
b3189	1.6275	1.45	1.69	1.7875
b3190	1.095	1.3875	1.21	1.2
b3192	0.8275	0.885	0.83	0.9
b3193	0.84	0.815	0.865	0.8575
b3194	1.5675	1.6725	1.93	1.2225
b3195	1.2275	1.3525	1.495	1.325
b3196	1.45	2.06	2.04	1.64
b3197	1.1875	1.5675	1.75	1.285
b3198	1.02	1.1925	1.39	1.285
b3199	0.79	0.775	0.775	0.95
b3200	1.1875	1.19	1.275	1.355
b3201	1.1025	1.155	1.22	0.9525
b3202	0.9875	0.8375	1.085	1.3275
b3203	1.145	1.0925	1.285	1.1325
b3204	1.16	0.9875	1.15	1.2
b3205	1.035	0.685	0.68	1.1125
b3206	0.9175	0.79	0.92	1.2675
b3207	1.0925	0.85	0.835	1.0375
b3208	1.23	1.275	1.305	1.2775
b3209	0.8425	0.6475	0.66	0.825
b3210	0.655	1.0125	0.69	0.7575
b3211	4.045	1.18	1.295	1.765
b3212	2.5675	1.6675	1.805	2.0325
b3213	2.5225	2.21	2.52	3.3675
b3214	1.5075	1.6175	1.565	2.0025
b3215	0.265	0	0	0.4725
b3216	1.2075	1.0125	0.87	2.295
b3217	1.0125	0.8175	0.86	1.515
b3219	0.9225	1.13	0.715	1.0425
b3220	1.935	1.9875	2.38	3
b3221	0.215	0.1925	0.17	0.3675
b3222	0.39	0.2825	0.285	0.3875
b3223	0.44	0.385	0.525	0.695
b3224	0.3625	0.25	0.285	0.3075
b3225	0.61	0.4725	0.505	0.64
b3226	1.6625	1.9525	1.645	1.3
b3227	1.6125	2.985	3.095	1.355
b3228	1.51	1.25	1.48	1.4
b3229	1.575	2.0875	2.385	1.315
b3230	2.2	2.8175	2.025	1.93
b3231	2.275	3.51	2.395	1.5425
b3232	1.3875	1.2225	1.405	1.375
b3233	0.94	0.7575	0.79	0.995
b3234	0.5575	0.5225	0.58	0.5975
b3235	1.575	1.68	1.91	1.8625
b3236	0.5075	0.415	0.42	0.4475
b3237	3.2075	3.1775	2.41	2.27
b3238	19.4825	25.4525	24.23	24.195
b3239	0.1275	0.1125	0.145	0.345
b3240	1.5325	0.85	1.02	0.825
b3241	1.7875	2.1275	2.04	1.235
b3243	1.6725	1.8475	2.395	2.2575
b3244	0.875	1.1175	1.275	1.7075
b3245	1.3875	1.8425	1.97	2.19
b4472	1.92	1.7675	1.8	1.8175
b3247	1.23	1.3375	1.415	1.18
b3248	1.01	1.4525	1.29	1.4275
b3249	1.535	1.87	2.41	1.7275
b3250	2.55	3.2425	2.78	2.18
b3251	1.325	1.5175	1.29	0.9775
b3252	0.72	0.5775	0.805	0.8125
b3253	0.515	0.445	0.465	0.45
b3255	1.4475	1.675	1.605	1.7
b3256	1.2725	1.6975	1.18	1.325
b3257	1.56	1.43	1.415	1.4125
b3258	1.1	1.085	1.13	1.09
b3259	1.3425	2.0075	1.94	1.8125
b3260	2.0175	3.07	2.88	2
b3261	2.035	3.1775	2.27	1.5875
b3262	1.365	1.5575	0.005	0.71
b3263	0.16	0.155	0.165	0.31
b3264	1.05	0.245	0.3	0.65
b3265	1.32	2.6775	1.84	1.1375
b3266	0.99	0.64	0.6	0.6675
b3267	1.3475	1.74	1.68	3.6575
b3268	0.4425	0.46	0.525	0.52
b3269	0.535	0.28	0.315	0.405
b3270	0.465	0.455	0.38	0.595
b3271	0.995	0.9225	1.265	1.9675
b3279	1.4875	1.08	1.575	2.455
b3280	0.86	0.775	1.09	1.8325
b3281	0.6825	0.875	1.27	1.7425
b3282	0.93	0.915	1.04	1.12
b3283	0.6975	0.64	0.54	0.92
b3284	0.43	0.455	0.52	0.485
b4473	0.5825	0.6625	0.49	0.4525
b4473	0.375	0.26	0	0.285
b3287	0.9275	0.87	0.815	0.8475
b3288	1.025	1.1125	1.09	0.975
b3289	1.1075	1.4375	1.135	1.115
b3290	0.84	0.815	0.985	1.28
b3291	0.4475	0.4625	0.49	0.87
b3292	0.925	1.635	1.755	0.95
b3293	1.105	1.335	1.3	1.19
b3294	1.9175	1.765	2.015	2.2975
b3295	1.7725	2.4825	2.145	2.775
b3296	1.4025	1.86	2.08	1.9875
b3297	1.5675	1.7175	1.44	1.6775
b3298	1.3175	1.5175	1.72	1.92
b3300	1.5225	1.775	2.25	2.1475
b3301	1.755	2.3375	2.3	2.4175
b3302	1.48	1.935	1.81	1.48
b3303	1.5125	2.0075	1.865	1.785
b3304	1.505	1.66	1.88	2.24
b3305	2.1	2.02	2.295	3.6625
b3306	1.535	2.13	2.59	2.18
b3307	1.6325	1.865	2.16	1.95
b3308	1.6125	1.6325	1.9	2.325
b3309	1.8525	2.605	3.095	2.6275
b3310	1.605	2.0275	2.345	1.96
b3311	1.5675	1.41	1.96	2.6975
b3312	1.4475	1.755	1.865	2.28
b3313	1.5575	2.845	2.135	2.4825
b3314	1.41	1.5625	1.495	1.9775
b3315	1.6375	1.5575	1.815	2.265
b3316	1.4875	1.3025	1.545	4.035
b3317	1.6425	1.9875	2.165	1.82
b3318	1.835	1.605	2.205	2.63
b3319	1.625	1.6075	2.085	2.0675
b3320	1.5975	1.725	2.12	2.32
b3321	1.4975	1.265	1.585	1.7425
b3322	1.2675	2.3575	1.16	0.84
b3323	1.1225	0.615	0.59	1.8425
b3324	1.2575	0.7225	2.24	8.9525
b3325	1.1575	1.8675	2.68	4.54
b3326	0.6475	0	0.765	3.415
b3327	0.2925	0	0.68	4.0425
b3328	1.3225	1.6125	1.975	6.68
b3329	0.9375	0.4775	0.755	2.1575
b3330	1.46	2.3675	2.46	2.69
b3331	0	0	0	0
b3332	1.115	1.12	1.45	3.7075
b3333	0.8475	1.35	1.26	0.7825
b2408	0.59	0.675	0.585	0.585
b2409	1.3225	1.835	1.53	1.2125
b2410	0.8775	0.835	0.87	1.055
b2411	0.895	1.0975	0.845	1.0475
b2412	0.6075	0.545	0.685	0.9475
b2413	1.085	1.4225	0.915	0.8825
b2414	2.27	1.515	2.58	3.7825
b2415	0.8325	0.7425	0.585	0.7475
b2416	0.4725	0.51	0.455	0.5425
b2417	0.9575	0.7175	0.76	0.73
b2418	1.06	1.1225	0.885	0.8375
b2419	1.0575	0.9925	1.075	1.3575
b2420	1.165	1.0025	1.21	2.0275
b2421	3.045	4.6475	3.79	2.72
b2422	3.115	3.32	3.39	1.745
b2423	3.2975	4.2925	5	2.3375
b2424	3.1375	3.955	4.165	1.6575
b2425	4.5225	4.6375	5.78	2.8275
b2426	0.13	0.115	0.125	0.155
b2427	0.37	0	0	0.3875
b2428	0.635	1.0925	0.625	0.6775
b2429	0.3675	0.2575	0.275	0.7375
b2430	0.4475	0.3325	0.38	0.6475
b2431	1.0425	1.135	1.25	1.1
b2432	0.905	0.895	0.98	1.0575
b2433	1.1875	1.195	1.325	1.2775
b2434	0.885	0.9775	0.98	1.0175
b2435	1.6625	2.37	1.825	1.3625
b2436	1.9675	2.49	2.215	1.315
b2437	1.0725	1.3125	1.465	1.1225
b2438	1.28	0.78	0.975	1.5875
b2439	1.165	1.1675	1.15	0.785
b2440	1.2475	1.345	1.705	1.01
b2441	1.43	1.92	1.635	1.28
b2442	1.335	1.1175	1.36	1.825
b2443	1.2375	1.4125	1.57	2.045
b2444	1.06	1.6525	1.615	0.8825
b2445	1.495	1.525	0.92	1.23
b2446	0.63	0.32	0.6	0.1925
b2447	0.6225	0	0	0.795
b2448	1.4825	1.69	1.97	1.95
b2449	0.86	0.5975	0.61	1.03
b2450	1.14	1.34	1.255	1.3375
b2451	0.6375	0.085	0.39	0.1475
b2452	0.665	0.7225	0.26	0.4775
b2453	1.2875	0.735	1.105	0.93
b2454	1.18	0.575	0.4	0.9375
b2455	1.2975	0.6	0.365	0.6425
b2456	0.87	0.3875	0.32	0.2475
b2457	0.565	0.305	0.355	0.2775
b2458	0.645	0.615	0.535	0.445
b2459	0.7775	0.9275	0.93	0.6
b2460	0.2075	0.1425	0.01	0.0825
b2461	0.3675	0.0025	0.135	0.2825
b2462	0.2175	0.0575	0.2	0.015
b2463	0.335	0.205	0.21	0.3
b2464	0.3175	0.2125	0.115	0.3
b2465	0.4925	0.3575	0.355	0.3775
b2466	1.65	1.5575	1.65	1.705
b2467	1.8425	1.9775	2.26	1.3425
b2468	0.8	0.7375	0.36	0.8575
b2469	1.52	1.5675	1.525	1.0825
b2470	1.385	1.2125	1.09	1.2925
b2471	0.4025	0.53	0.61	0.9775
b2472	0.5975	0.6475	0.725	0.7625
b2473	1.2675	1.2925	1.255	1.5075
b2474	1.3025	2.0325	1.785	1.3075
b2475	0.865	1.4525	1.325	0.9325
b2476	2.26	3.4525	2.365	1.78
b2477	1.2975	0.96	1.06	1.3225
b2478	1.2275	1.335	1.125	1.055
b2479	1	0.845	0.795	1.1325
b2480	1.1875	1.295	1.12	1.525
b2481	0.275	0	0	0
b2482	1.0625	0.6825	0.65	1.125
b2483	0.935	0	0	0
b2484	1.175	0.7275	0.49	1.015
b2485	0.71	0.5225	0.165	0.9925
b2486	1.08	0.8175	1.21	1.4675
b2487	0.765	0.445	0.405	0.3175
b2488	1.36	1.1625	0	0.9775
b2489	1.0125	0.7725	0.96	1.135
b2490	1.385	1.615	2.335	1.8125
b2491	0.865	0.9525	0.805	1.64
b2492	0.355	0.3525	0.285	0.3625
b2493	1.8375	2.73	2.225	1.32
b2494	0.97	0.8925	0.805	0.93
b2495	2.02	1.8225	2.48	1.5575
b2496	4.6925	11.185	10.805	4.095
b2497	5.1575	20.235	17.55	4.14
b2498	2.9375	10.515	4.575	1.69
b2499	2.46	3.3275	2.405	1.36
b2500	1.885	2.2925	2.355	1.675
b2501	0.98	1.18	0.905	0.9775
b2502	0.9725	0.855	0.905	1.2625
b2503	1.2125	0.9175	1.02	1.455
b2504	1.295	0.84	0.665	0.82
b2505	1.4125	0.2725	0.665	1.3175
b2506	1.02	1.39	1.09	1.08
b2507	4.86	7.95	4.385	2.5175
b2508	6.44	9.1875	5.235	2.5725
b2509	2.8675	3.22	3.845	4.61
b2510	0.98	0.725	1.025	1.54
